index,side,reference_frequency,match_frequency,match_amplitude,audible,timestamp
0,M,1000,150,17.6580989620927,true,2025-11-03T17:30:22.591Z
1,M,1000,200,13.5568896589785,true,2025-11-03T17:30:29.511Z
2,M,1000,250,8.61773373381348,true,2025-11-03T17:30:49.291Z
3,M,1000,400,5.43621311609188,true,2025-11-03T17:31:07.131Z
4,M,1000,600,-5.61136433780301,true,2025-11-03T17:31:21.675Z
5,M,1000,800,-4.24604043866782,true,2025-11-03T17:31:45.225Z
6,M,1000,900,-0.272467611694517,true,2025-11-03T17:31:57.473Z
7,M,1000,1000,-0.48210251976572,true,2025-11-03T17:32:05.982Z
8,M,1000,1500,-0.786289621260888,true,2025-11-03T17:32:21.217Z
9,M,1000,2000,-3.1923044715011,true,2025-11-03T17:32:29.565Z
10,M,1000,2500,-2.43868400533095,true,2025-11-03T17:33:03.870Z
11,M,1000,3000,-5.84604583406348,true,2025-11-03T17:33:15.440Z
12,M,1000,3500,-6.12631288754147,true,2025-11-03T17:33:26.798Z
13,M,1000,4000,-6.00797106175747,true,2025-11-03T17:33:39.841Z
14,M,1000,5000,-0.122627079821574,true,2025-11-03T17:33:53.419Z
15,M,1000,6000,4.53979328648923,true,2025-11-03T17:34:02.467Z
16,M,1000,7000,-0.715080673855206,true,2025-11-03T17:34:11.448Z
17,M,1000,8000,1.47591378556737,true,2025-11-03T17:34:16.374Z
18,M,1000,8500,1.83674914483247,true,2025-11-03T17:34:21.781Z
19,M,1000,9000,0.76138983181395,true,2025-11-03T17:34:28.451Z
20,M,1000,150,17.742167405856,true,2025-11-03T17:34:34.091Z
21,M,1000,200,13.892698563785,true,2025-11-03T17:34:47.081Z
22,M,1000,250,11.8488732646385,true,2025-11-03T17:34:55.955Z
23,M,1000,400,8.83833166753745,true,2025-11-03T17:35:15.145Z
24,M,1000,600,-1.11813218270199,true,2025-11-03T17:35:26.281Z
25,M,1000,800,-3.72854481100935,true,2025-11-03T17:35:30.382Z
26,M,1000,900,-2.34628129938613,true,2025-11-03T17:35:39.033Z
27,M,1000,1000,-0.724820237492083,true,2025-11-03T17:36:01.423Z
28,M,1000,1500,1.16033409797632,true,2025-11-03T17:36:14.786Z
29,M,1000,2000,1.26638352468191,true,2025-11-03T17:36:22.966Z
30,M,1000,2500,-1.80613317059835,true,2025-11-03T17:36:31.842Z
31,M,1000,3000,-4.95068597901965,true,2025-11-03T17:36:44.269Z
32,M,1000,3500,-4.77692072283314,true,2025-11-03T17:36:48.818Z
33,M,1000,4000,-5.91705132880499,true,2025-11-03T17:36:55.223Z
34,M,1000,5000,-2.95352576298865,true,2025-11-03T17:37:05.718Z
35,M,1000,6000,3.53571629023089,true,2025-11-03T17:37:10.347Z
36,M,1000,7000,-0.390641289351346,true,2025-11-03T17:37:24.082Z
37,M,1000,8000,3.57381296324568,true,2025-11-03T17:37:38.875Z
38,M,1000,8500,5.59487088468823,true,2025-11-03T17:37:49.942Z
39,M,1000,9000,3.13538416594583,true,2025-11-03T17:37:55.334Z
